...1,ISO,year,Value,Module,Policy,Broad Category,Market_non_market,Buildingblock,PriorityArea_new,Policy_new,Policytype_detail_new,Policytype,Policy_name_fig_1,Policy_name_fig_2_3,Policy_name_fig_4,Cluster_categories,Policy Name (our short framing),prev_value,introduction,jump,intensification,intensification_jump,is_price,is_subsidy,is_standard,is_reg,priceintro,regintro,subsidyintro,standardintro,price,reg,subsidy,standard,state,first_price_year,first_reg_year,path_group,path
10051,CHL,2010,7.5,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,7.5,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
10085,CHL,2010,0,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9814,CHL,2011,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9848,CHL,2011,0,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9882,CHL,2011,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9916,CHL,2011,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9950,CHL,2011,0,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9984,CHL,2011,0,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
10018,CHL,2011,10,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,10,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
10052,CHL,2011,10,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,7.5,0,2.5,1,2.5,0,0,1,0,0,0,0,1,0,0,0,1,NA,NA,2014,reg_only,none
10086,CHL,2011,0,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9815,CHL,2012,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9849,CHL,2012,0,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9883,CHL,2012,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9917,CHL,2012,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9951,CHL,2012,0,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9985,CHL,2012,0,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
10019,CHL,2012,10,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,10,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
10053,CHL,2012,10,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,10,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
10087,CHL,2012,0,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9816,CHL,2013,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9850,CHL,2013,0,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9884,CHL,2013,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9918,CHL,2013,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9952,CHL,2013,0,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9986,CHL,2013,0,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
10020,CHL,2013,10,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,10,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
10054,CHL,2013,10,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,10,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
10088,CHL,2013,0,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9817,CHL,2014,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,2014,reg_only,none
9851,CHL,2014,5,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,0,1,5,0,NA,0,0,0,1,0,1,0,0,0,1,0,1,NA,NA,2014,reg_only,reg_only
9885,CHL,2014,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,2014,reg_only,reg_only
9919,CHL,2014,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,2014,reg_only,reg_only
9953,CHL,2014,0,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,1,0,1,NA,NA,2014,reg_only,reg_only
9987,CHL,2014,0,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,2014,reg_only,reg_only
10021,CHL,2014,10,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,10,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,2014,reg_only,reg_only
10055,CHL,2014,10,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,10,0,0,0,NA,0,0,1,0,0,0,0,0,0,1,0,1,NA,NA,2014,reg_only,reg_only
10089,CHL,2014,2.5,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,1,2.5,0,NA,0,0,0,1,0,1,0,0,0,1,0,1,NA,NA,2014,reg_only,reg_only
9818,CHL,2015,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,1,NA,NA,2014,reg_only,reg_only
9852,CHL,2015,5,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,5,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,1,NA,NA,2014,reg_only,reg_only
9886,CHL,2015,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,2014,reg_only,reg_only
9920,CHL,2015,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,2014,reg_only,reg_only
9954,CHL,2015,5,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,0,1,5,0,NA,0,1,0,0,0,0,1,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9988,CHL,2015,0,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10022,CHL,2015,10,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,10,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10056,CHL,2015,10,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,10,0,0,0,NA,0,0,1,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10090,CHL,2015,7.5,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,2.5,0,5,1,5,0,0,0,1,0,1,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9819,CHL,2016,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9853,CHL,2016,5,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,5,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9887,CHL,2016,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9921,CHL,2016,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9955,CHL,2016,10,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,5,0,5,1,5,0,1,0,0,0,0,1,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9989,CHL,2016,0,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10023,CHL,2016,10,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,10,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10057,CHL,2016,10,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,10,0,0,0,NA,0,0,1,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10091,CHL,2016,7.5,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,7.5,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9820,CHL,2017,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9854,CHL,2017,5,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,5,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9888,CHL,2017,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9922,CHL,2017,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9956,CHL,2017,10,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,10,0,0,0,NA,0,1,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9990,CHL,2017,0,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10024,CHL,2017,10,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,10,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10058,CHL,2017,10,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,10,0,0,0,NA,0,0,1,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10092,CHL,2017,7.5,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,7.5,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9821,CHL,2018,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9855,CHL,2018,7.5,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,5,0,2.5,1,2.5,0,0,0,1,0,1,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9889,CHL,2018,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9923,CHL,2018,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9957,CHL,2018,10,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,10,0,0,0,NA,0,1,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9991,CHL,2018,0,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10025,CHL,2018,10,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,10,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10059,CHL,2018,10,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,10,0,0,0,NA,0,0,1,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10093,CHL,2018,10,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,7.5,0,2.5,1,2.5,0,0,0,1,0,1,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9822,CHL,2019,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9856,CHL,2019,7.5,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,7.5,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9890,CHL,2019,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9924,CHL,2019,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9958,CHL,2019,10,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,10,0,0,0,NA,0,1,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
9992,CHL,2019,0,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10026,CHL,2019,10,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,10,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
10060,CHL,2019,10,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,10,0,0,0,NA,0,0,1,0,0,0,0,0,0,1,1,1,NA,NA,2014,reg_only,reg_only
