Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,IDA total,IDA,287982346058.972,291340209208.349,308689955817.098,323693231463.951,339442376972.059,354550434754.247,360699080555.2,352472402374.902,366565494384.806,399600373896.921,432421380059.739,459867200768.747,468151156341.617,487377488680.465,523374298408.872,521244580263.18,549617195303.187,571366957817.311,578108837556.907,598098801770.656,619031622205.662,616360037901.809,615634641658.073,610173848982.185,619831304300.355,645285538173.284,664303798011.229,688260763200.073,721195223863.909,737521194524.727,765727441281.497,781528552293.627,797626365780.506,804806366944.833,813782723008.544,843424344675.019,885439048603.582,919873231097.297,952238608054.872,981052191790.618,1019618557048,1060883737496.43,1118908930651.29,1174493842295.49,1253426792698.42,1330893524136.03,1411311534239.19,1495024148871.06,1570299389421.72,1649163610482.68,1751215649503.42,1825081691457.94,1887855969322.69,1987415253211.12,2094250670159.99,2166147593879.17,2235782892208.55,2324883514318.38,2426318646857.28,2521617201626.44,2475976430442.3,2574314270995.9,2691333287929.77,2773297240293.36,2892709160738.4,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Late-demographic dividend,LTE,972481180716.281,936394640460.108,964304742155.542,1004226272885.97,1076434529239.09,1148190477481.54,1236630798320.83,1258455378324.67,1323637014767.99,1455666727562.13,1613416899793.97,1750611857450.23,1888577832167.01,2073961964317.81,2176758265770.85,2271330845973.85,2421320961016.01,2574630514171.79,2746192551679.13,2959372599207.26,3175166371374.19,3179624953571.61,3241343304489.28,3298192937223.8,3556353987697.78,3813891257275.92,4034759011043,4294903542072.98,4515488383302.5,4729009803902.58,4740577959000.28,4764745510323.89,4804056913475.01,5012746692309.07,5236576500611.02,5534593982020.73,5817748144661.61,6146259553098.44,6322953611277.9,6617832605135.42,7083079645648.96,7451035589426.68,7901975176184.56,8445702132057.47,9138279343528.71,9850743881748.17,10766022171555.2,11864788345809.7,12690208193885.4,13164997138201.1,14222725781794.8,15242521220194.1,16139690127827.7,17049939684203.4,17952056166820.8,18797219107172.1,19633870609487.4,20667045850521.3,21791288797381,22825733435816.6,22879616939971.7,24616787375006.7,25425942102957.4,26551815408168,27743341414834.5,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Latin America & Caribbean,LCN,729349812797.146,773231253578.888,808013576090.223,825398906625.744,886970010965.339,936531931118.367,981300881213.645,1023199237379.44,1096086191462.14,1168137758314.7,1245059136915.21,1327804995644.97,1419938700715.98,1532865006767.79,1625840949081.74,1684206889097.17,1776920201103.49,1864339509260.53,1947266513308.68,2086410718624.13,2217058689847.59,2242566543354.88,2240621016421.94,2184071277060.97,2269694254574.41,2338786758854.85,2421839794981.15,2502789644716.03,2522707412662.27,2553335247789.28,2548726649870.29,2629815779671.11,2700215543663.96,2815453987421.62,2957305225288.12,2985337280160.07,3101691284136.17,3271171103530.55,3366894681289.61,3384904001008.68,3507688633929.34,3526334240011.68,3533889214212.5,3612004868342.94,3818690961691.94,3975105662293.18,4184267349636.13,4405476467591.08,4568072565555.12,4462729674758.82,4737753656500.88,4946051556371.06,5076825930636.23,5214701785543.5,5277043973631.76,5289615626446.62,5251012055327.77,5332575619822.82,5397521762017.83,5414366311242.31,5042906452648.47,5399139510357.72,5619688802310.53,5746106067940.25,5875603254876.28,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Latin America & Caribbean (excluding high income),LAC,617680620014.73,656055322214.888,684456878753.661,696167310865.663,749403858599.07,793148148154.849,829727381446.415,866500286242.09,930952644264.901,995522772679.027,1063402337662.67,1137682619676.11,1225656121954.53,1332264821198.4,1421235508805.09,1481751768750.36,1563049158474.96,1636607174264.24,1706778171909.4,1832851202008.69,1955716741260.33,1976992319164.79,1983371478099.92,1941407149154.81,2016681733977.24,2080295471015.24,2149922789171.03,2217413679031.37,2224856801202.98,2255196156657.55,2244082269309.81,2308157496314.5,2355970823039.74,2458096089953.89,2589007617743.15,2599458053291.68,2701967031643.53,2845886461169.11,2924638194115.13,2940227531642.4,3046842281848.95,3051197241671.27,3061447259522.55,3134533079125.6,3300131596123.41,3431738711162.27,3611207959016.24,3802695631886.65,3944475409415.01,3848871193245.23,4106213587655.82,4287954881028.5,4388419210561.84,4509928602568.04,4567191313070.12,4578739613722.79,4554192310230.58,4644434583052.38,4716151931659.62,4744331658990.13,4433580171751.37,4739617019872.08,4926692228060.28,5033416391728.84,5132738029517.57,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Latin America & the Caribbean (IDA & IBRD countries),TLA,695526091009.699,737113714558.217,769504430459.554,784691695464.687,843210865990.606,889427778808.553,931188169903.46,970276953758.68,1039824566570.43,1107327456119.82,1180345123450.67,1258670325834.43,1346969077471.24,1455872837720.69,1547910988675.18,1604288958507.55,1692351858639.39,1773823188800,1850500908795.25,1983709410186.86,2113055748654.77,2131468879156.14,2126197181477.02,2068407457068.96,2145874936647.79,2211799349114.75,2291524642423.35,2369670967293.33,2383549964181.14,2410142136883.86,2409171734244.23,2494276112500.67,2566964024436.56,2684481608039.17,2821987501420.65,2845102255453.03,2955857796067.75,3119246211102.35,3209248748628.68,3219038186282.51,3335015282172.57,3345495778855.99,3351106381897.8,3427320643718.26,3620939392105.58,3772928707436.68,3975705144748.89,4192600167906.53,4354280178005.87,4251831633496.23,4525374262949.02,4731954881368.41,4860475633400.02,4996778708654.62,5059108853173.81,5068610305411.75,5030709047872.65,5112262470836.94,5178849846985.19,5193850665156.53,4841554749687.19,5193220609108.14,5407068391508.19,5532838412178.96,5658884607298.61,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Least developed countries: UN classification,LDC,..,159165772520.999,171175231350.76,174647393900.764,180921007800.991,187608977339.521,193850582999.016,195876957988.421,205932172655.472,212784728625.573,211500241586.672,215178354717.62,212121211251.474,216897055898.655,229093606261.828,230307624937.429,239247021720.402,243920036528.783,247672507373.465,252191391298.661,257192644351.526,263272751980.739,265893930244.529,270283556426.985,276676168380.799,281346124870.3,290656450651.87,302839751971.377,311584339696.496,317016339933.676,316648863434.499,322443200591.986,323282638623.878,321516211332.406,323699734747.293,342490148016.102,361782323247.195,381104445159.071,396489642840.425,412423098714.355,430041751015.121,451113690433.397,475571943228.706,500087175284.649,532818903253.474,572274203948.473,611528907613.272,655898867357.044,698232322106.642,727745612083.773,773873855018.696,799667005264.699,826114938400.153,873965992002.325,920718822831.589,946044369982.556,980640358081.515,1024756520342.2,1072504221259.81,1125199095083.01,1124252111022.13,1156496129023.88,1211441248719.02,1248133375195.38,1296267115798.8,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Low & middle income,LMY,1677217192634.12,1693704341365.17,1754313505271.87,1838545015315.53,1983069810621.46,2103520106501.17,2207142822638.3,2277651883914.39,2416414522140.49,2614585006952.45,2822748640961.44,2997013565558.27,3181355170281.75,3399632015014.62,3604858253831.61,3758726787708.49,3993340143407.89,4175518494600.39,4328705669225.75,4527265845810.25,4741138474561.52,4832358528870.44,4971661896188.47,5051278318115.28,5287246588134.75,5524782011263.08,5727735230118.59,5993603694617.5,6240745571121.64,6431346748506.6,6632912210168.4,6824689034759.81,7116105412981.18,7472902656425.04,7858735042564.55,8222097354959.08,8736593205393.77,9232496373737.6,9539981344512.11,9891855176835.54,10443292205749,10825187656496.8,11344993463388.7,12018607440011.5,12942272214877.2,13895961201476.9,15038348692199.7,16367924402508.8,17340620891413,18036780860264.2,19509385249223,20749171281154.1,21888408320219.6,23118775623916.7,24315845350060.5,25457289049147.5,26662919121115.7,28085157761164.9,29487318731945.8,30713388011037.5,30368971753713.7,32612181023510.6,33916619351327.6,35552307827876,37102655224769.4,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,145395970998.469,149256305621.828,150879552876.914,151980030680.613,151124889656.912,154071442370.685,156844895711.635,163199423083.337,169652590981.93,169590665168.641,163682980345.747,167175507727.318,167947030804.264,167930886252.07,170661576377.156,178813726204.554,187873293265.318,199734871031.915,209178293025.581,214089056126.961,220165478205.179,229044421185.514,241130252733.497,254818858286.451,269378740081.925,285653786070.902,300706153917.323,317628084115.655,333469918631.605,344433153791.566,366802841348.064,366324614356.486,350205581428.697,359133672362.077,369403058809.724,361782469708.524,363606130568.343,370459501005.707,381006074430.743,392475611342.453,387960453292.486,392923744418.545,406116518361.637,405266158076.443,414693304323.717,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Lower middle income,LMC,443734470660.436,458269498848.762,475562672795.98,504661820087.104,537619522153.181,548522144929.124,556053156049.233,564987230030.806,586887666164.516,633421434077.675,679202903090.54,711862671951.13,723888284622.513,756836468646.554,793931871305.573,821845305427.009,866705205128.876,915791437240.104,950279368592.311,964779075155.236,1015705345357.13,1036219157809.32,1059422498271.67,1083567905197.42,1112557429183.53,1156575487425.1,1201039654284.12,1244344974282.52,1328063924682.12,1376844932680.17,1447425217012.64,1479091630602.51,1533546121591.29,1568590843370.49,1632014588188.34,1716516831926.43,1826895571984.29,1900860203395.12,1987505409157.26,2095146271388.33,2183346998486.5,2278061809641.1,2381242812499.98,2522864370278.28,2702270854244.62,2883389967786.7,3084673550583.06,3297112737837.47,3448456414141.73,3654204746731.9,3905133763584.19,4090885153145.09,4302721062535.43,4546814027269.77,4825018099553.81,5110516313268.72,5401054366716.78,5694932890227.6,6003797336992.31,6247796271967.2,5999297450106.84,6388688849748.73,6787400148979.85,7197495270158.23,7569839678967.72,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Middle East, North Africa, Afghanistan & Pakistan",MEA,245316426271.951,260377305856.096,274544524450.063,303519517071.643,332554457014.229,371806992753.703,396512074698.978,427232945196.371,479678384277.982,529632025971.998,621902185776.565,677579623318.416,769417985974.17,855155053478.301,929468218998.811,930538989771.54,1059426639636.49,1099590201158.16,1096859392214.73,1158320927945.59,1175072176945.51,1181357259437.33,1166335039689.25,1161661290042.33,1163035260452.03,1170025093002.04,1152294652616.7,1163756596668.09,1190574376111.91,1236739546824.26,1342630025051.83,1372406997439.75,1458537436747.18,1494446113134.16,1540571106801.91,1589980789925.99,1671068533083.21,1740119133314.97,1812663616200.77,1863203871368.63,1981800733261.7,2020698620800.46,2062854743334.16,2159800806865.6,2331304181927.72,2454593088124.39,2601577808790.96,2737718670253.1,2857536038126.45,2889490672126.69,3028465499180.11,3144827143335.33,3278425667152.6,3357670897187.38,3462499541386.26,3558416509933.66,3718490694026.79,3795705838717.29,3886800967972.17,3948654414995.85,3807095253349.17,3998832510005.31,4256618404294.62,4352784227859.89,4444729170924.96,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,155601014896.273,161433612370.326,165662000545.104,184249706764.606,202993986021.422,227810309656.763,244111026647.381,262603634401.466,295244652190.835,327840092184.999,356400560418.438,376206845839.378,420922759188.28,443901156084.226,476667976972.522,491530730853.637,566074599068.97,575600943424.223,564948318246.804,561948443205.322,543298271134.812,535476840596.3,594070929404.869,622302354101.961,623311551140.381,650484129735.45,638831870059.745,645387138828.632,657166112064.295,675884609019.735,742662788346.558,751671267463.011,788990871646.935,801133385348.733,819640444815.909,843900705854.364,894199373092.197,925147175608.058,975287276496.869,1016388466640.56,1074822729338.12,1105306178806.57,1140574844728.22,1172527821081.59,1262825302551.48,1325345573773.55,1396919644496.19,1478185398497.24,1529379152101.53,1572672511039.42,1648638405588.97,1642447546645.79,1700853382044.64,1719861092899.15,1761074556160.57,1780659355969.3,1879787514063.38,1943768539812.59,1984591032025.54,2012223164029.94,1959205740705.51,2044081707630.71,2132584773222.29,2193420014657.16,2242170825099.07,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,154641592876.312,160438227073.045,164640543382.375,183113639458.367,201742343156.249,226405651547.017,242605859766.325,260984443745.58,293424199922.087,325818659332.021,354203026258.268,373887187884.713,418327386888.575,441164101032.773,473728884617.486,488499996079.944,562584233433.186,572051839196.34,561464897158.407,558483519079.647,539948342311.529,532175138018.143,590407940886.001,618465293129.084,619468267548.314,646473302440.275,634892889561.473,641407739126.103,653114084260.321,671717164628.206,738083595640.007,747036529275.369,784126024098.798,796193668140.967,814586614725.336,838485497569.8,888720338324.805,918859633418.148,968094469604.456,1008598128504.02,1067705953916.68,1098853318819.24,1134929523943.76,1166090031085.29,1254974442151.71,1316607523362.21,1388269496211.1,1469207833260.16,1519734058418.89,1562197712040.12,1637558295034.46,1630302060179.33,1687967046453.96,1706368692899.15,1747603456160.57,1766686955969.3,1864576514063.38,1928341639812.59,1968974832025.54,1996394164029.94,1945168340705.51,2029060007630.71,2116949773222.29,2178497314657.16,2231211225099.07,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Middle income,MIC,1606428471512.03,1624464438769.56,1677872466724.82,1760613678844.57,1904009030379.33,2021470834159.41,2122489442343.14,2191089297669.92,2326549645329.58,2518861535743.34,2723532290112.21,2893083317977.79,3074998532488.39,3290977999515.58,3489702706472.15,3640066376796.08,3869890159010.98,4048173733607.4,4200822638897.99,4397526210320.57,4607713323043.25,4695588911853.54,4832907928696.25,4911311026582.25,5146839325658.62,5380990513380.17,5580854654390.38,5840608174927.79,6081643723888.01,6271217310968.01,6475965281029.49,6664268029594,6954296050713.75,7310275874198.9,7692847928657.01,8048314345233.49,8553770861248.15,9038264795511.09,9336876432239.26,9683674871073.78,10228553065706.2,10601859375534.5,11109973863679.8,11770192676195,12679235265053.2,13616721946631.6,14743653830044.3,16055772418519.1,17012617647383.3,17697912447959.3,19148313474735.4,20387750736689.7,21541561715559.3,22762651060529.1,23949189534371.6,25097130636126.9,26300245956034.1,27715051842968.2,29106285154757.5,30320664411502.1,29980760375303.3,32217799267050.4,33508859910194.4,35144294366731.2,36684681189602.5,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,North America,NAC,3692599761216.47,3779955657497.4,4014290255700.84,4193606613267.38,4439695543027.15,4723517300494.59,5031666102627.96,5159932505033.64,5408371762942.74,5584353196698.2,5608627112927.97,5796626218223.31,6102411403140.14,6452227446369.25,6438265318562.24,6434849956242.96,6784503142918.29,7091799433089.58,7473096957110.6,7713225387967.69,7709896627781.11,7911484980022.53,7759131427109.2,8100971431672.99,8677585246526.63,9043308781797.9,9346243173294.97,9673998966817.3,10079991607004.7,10438560768757.7,10620588710859.7,10591504568134.3,10941791340537.7,11242083930781.6,11698994920650.5,12013114623535.2,12446376489797.6,12998269548611.4,13574987667975.2,14228641959087,14820887932751.5,14973625898933.5,15243405854615.2,15657521254322.3,16250487833700.6,16812946958191.9,17279383266701.2,17626370919530.1,17658438696446.5,17198483323608.5,17666985250493.4,17964984770574.6,18367970473186.3,18759863487808,19238157900174,19769184098217.1,20116555214296.8,20620082381951.8,21227923096076.6,21765016109606,21245132511861.9,22529760234493.9,23124677205086.4,23768392810821.5,24410122957734.5,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,OECD members,OED,8946593806663.25,9341157152018.24,9859104013050.54,10360351734398.6,11028453196894,11630143426726.2,12274801694979.4,12743003162382.5,13501562278787.3,14247573916682.7,14642605253375.5,15177020526965.3,15985866358214.4,16959718126744.6,17154934091992.9,17186177138949.1,17997337546613.9,18671822068440.7,19481479696557.3,20232922213189,20486161901002.8,20919533182742.7,20953815128725.9,21547349598813.9,22571925496324.6,23399930072291.6,24120884906186.5,24962866318704.4,26084138331973.3,27067353949782.6,27866253835999.9,28188925653474.7,28796057313573.6,29219584870698.4,30186292925391.9,31018021516768.7,31985649235178.4,33150029538896.3,34146141266983.9,35322041584974.3,36778557769118.3,37295771205818.9,37868472182515,38642630238993,39902903786401.5,41038049322319.7,42285977159393.3,43394178863364.1,43565946490059,42093300373931.7,43342233851625,44156209796875.4,44764132360716,45489519685742,46480435658263.3,47647221796959.1,48534648404056.1,49804771487583.6,50982465440210,51923478427354.2,49904033042891.9,52886058724097.7,54522890657596.1,55516492268060.6,56519546866728.3,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Other small states,OSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33845165991.7562,39350593635.7239,43319949306.9071,46353649196.1519,53209204125.8163,51761146654.7423,47859734524.9809,49306456623.5459,49781446080.7478,51121815302.2141,52145468180.3835,53209556946.8034,56456116417.2137,58209465373.6036,59892420993.4038,63028495624.9283,62700617908.346,60741449548.3418,60967450572.7877,62703512747.5183,65426691866.6458,67557863750.2837,71771411877.1686,74224067154.5974,76150870135.0611,81714916900.7714,84321041360.8989,87267102922.7321,90992764305.36,95047344531.8312,99423469176.8313,105588022566.113,111353812972.026,112354516228.374,106589821725.358,109228581730.615,112822959179.033,114177090351.25,115080993329.417,117496288016.57,121433707011.691,126425739852.236,132824243552.788,138613123791.174,144496973059.909,136119783585.283,147016403360.789,153421960714.937,158346666971.641,162912209874.168,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,3184445912.50028,3385853769.19156,3569647821.2621,3960504001.83059,4082166604.53534,4099185952.93355,4140399314.22197,4277531001.8958,4367448262.36197,4740120081.94035,4580650593.93201,4717783196.93285,4565277719.95033,4512632147.82758,4751851804.65476,4670559801.45921,4917211268.71967,4817829125.18311,4873001921.32028,5093398142.40953,5279479684.81935,5251371651.96328,5502700509.10818,5605085846.41438,5872458853.3978,6130649529.39669,6312894777.46142,6231887831.39139,6320432539.4294,6588239169.31691,6487074944.08412,6545248440.88043,6675848574.92709,6802298089.20558,7072538012.204,7244166051.08472,7414391863.76514,7423860541.34983,7569360411.97088,7526790787.42346,7802720838.51455,8104706553.80971,8188085378.91257,8453598218.8997,8755277908.84133,9105865614.90318,9444252508.9363,9813804355.85463,10080834717.2397,10195168084.7096,9150216946.6765,8902701626.14041,9656402965.60392,10325494129.2012,10675809216.9513,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Post-demographic dividend,PST,8665068250192.96,9047184491350.92,9551635974188.42,10029751995886.9,10668626771444.4,11253626893665.4,11871760728171.5,12319050574776.9,13040347892589.1,13767904616650.1,14138291285888.5,14647746167410.7,15416682150701.7,16360866406444.1,16519518928184.7,16520993969029.4,17302813256868.1,17954886567032.7,18714880287438.5,19417385875251.2,19626453349307,20003806581331.7,20044703944225.3,20667961457672.9,21665765669509.5,22464855161500.5,23194034109308.9,24000910489799.7,25112262860906.6,26064624041072.8,26773030002185.7,27051856872941.8,27583887112889.5,27923797411184.7,28826325505870.3,29627803639258.2,30498652356729.2,31547099922249.9,32435231368668.3,33584931163546.3,34950617994124,35481712173146.3,36023071812672.2,36754099057910.5,37930820790838.2,38989654212707.8,40132973274889.3,41163496481987.7,41313697904028.5,39921039307591.9,41079925893471.3,41763766673437.3,42281722447109.9,42924169840696.1,43789112896671,44767511150189.7,45579550988092.5,46712237648480.4,47769442942200.4,48636122128934.9,46658855185620.7,49312943298610.8,50690125759408.1,51618663771653,52545460857104.2,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Pre-demographic dividend,PRE,183520849659.616,182936213870.491,194249482879.964,205445849232.348,214946489758.053,224418498994.168,227062063662.799,214008626137.903,221752184575.605,246794170033.6,267936204480.541,292915906184.507,302901837475.978,315183021939.862,341425475508.682,340283481729.76,363817519732.828,380833727233.703,380159215234.555,401738576584.302,418532697033.855,401943250853.653,396987052714.66,378349864280.169,380778125495.238,394521634118.406,404473836404.307,420122377049.171,436315480630.9,442235824852.813,477988754532.244,439271059877.992,448830644312.014,445868069396.456,446173295110.293,460128156135.531,486106207954.381,516543525822.094,552343168376.198,575594260993.597,607100044618.95,633536862173.253,671588572039.749,667767114864.204,747953909167.93,792605899132.053,841879087452.145,892953955029.586,949983955644.556,996002673592.935,1062265158933.83,1108612413064.7,1156660135539.2,1225065337799.69,1288437085248.35,1327634282632.05,1359301368315.76,1381777968905.8,1418502376439.21,1464244549140.76,1404548871519.11,1437720703643.33,1504956809567.56,1541808637322.46,1592884565152,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Small states,SST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59654557897.3215,59603597788.6599,65906210545.4432,71372903084.6367,76449603931.866,85139977977.5042,85504147704.3579,82435682468.8029,83662935047.9065,82727693733.7673,84839893977.0388,85995823286.9374,87696812829.3876,90411094705.1871,92605170209.8634,95489132119.3911,98289221912.3417,97924108430.7844,96931541232.4324,97407314550.6485,100452071097.363,104397250187.465,108350083605.21,114024191077.926,118342288308.967,122462886805.913,129770784215.703,133302246944.172,138071386167.887,144623202253.525,151131293710.147,157830216614.424,168178826697.928,176061509493.281,178187790436.985,170420125495.893,174378037599.59,178767068495.024,182557806182.111,184561419854.558,188859902894.174,193084726298.623,196488630824.436,202804799846.228,209589256809.251,216120345052.424,201151751760.557,215450947417.832,231471582178.809,243110202571.071,257992216362.763,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,South Asia,SAS,168423297325.232,175171334810.86,180925298242.969,189785954300.956,204554983601.308,200758914316.604,202022118148.916,214566301455.626,223646434015.363,236654107821.278,248772858976.911,250371287386.192,244987589905.078,253272367428.709,259115583087.5,278075606806.338,284191437856.849,302946771983.967,320631719954.84,309235829204.29,327394335984.049,347607937122.356,359275390687.846,383160804019.14,398853669214.229,419057853903.411,438760946834.551,455574219646.958,494392070881.437,521431179221.296,550564433464.007,558906306928.89,589156371186.832,617569052767.488,656891689109.99,704172319307.898,753987624224.418,785735161018.67,832765688999.327,901123720962.224,937951354420.202,980846139596.03,1017843636379.73,1093833038778.87,1176374213852.23,1266302049081.97,1366278928762.27,1469218232477.34,1520356367883.69,1632707842782.97,1766498511683.75,1862792006629.93,1967949580150.21,2090617095113.74,2242092335834.7,2414503392484.38,2606918145790.09,2783774592239.64,2961759850916.95,3083030383497,2929264189582.9,3200121520340.3,3427367075328.57,3718874545140.61,3950657107997.71,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,South Asia (IDA & IBRD),TSA,168423297325.232,175171334810.86,180925298242.969,189785954300.956,204554983601.308,200758914316.604,202022118148.916,214566301455.626,223646434015.363,236654107821.278,248772858976.911,250371287386.192,244987589905.078,253272367428.709,259115583087.5,278075606806.338,284191437856.849,302946771983.967,320631719954.84,309235829204.29,327394335984.049,347607937122.356,359275390687.846,383160804019.14,398853669214.229,419057853903.411,438760946834.551,455574219646.958,494392070881.437,521431179221.296,550564433464.007,558906306928.89,589156371186.832,617569052767.488,656891689109.99,704172319307.898,753987624224.418,785735161018.67,832765688999.327,901123720962.224,937951354420.202,980846139596.03,1017843636379.73,1093833038778.87,1176374213852.23,1266302049081.97,1366278928762.27,1469218232477.34,1520356367883.69,1632707842782.97,1766498511683.75,1862792006629.93,1967949580150.21,2090617095113.74,2242092335834.7,2414503392484.38,2606918145790.09,2783774592239.64,2961759850916.95,3083030383497,2929264189582.9,3200121520340.3,3427367075328.57,3718874545140.61,3950657107997.71,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Sub-Saharan Africa,SSF,263666150217.37,266502186605.196,282615497400.364,300265024549.369,315174824276.845,329923200431.46,336609758362.864,334024993516.738,344477585548.634,375474813099.057,404793146312.29,436008180050.449,448874810689.837,468159267290.719,503415270001.957,502258032123.504,528243411860.47,542847749120.394,541893752135.916,563221826569.992,584153873559.935,579400159510.895,572430923704.395,557890489302.19,570466773968.4,581918812633.31,592797402825.492,610189075320.783,637479081340.123,652115134604.991,666858386178.425,669442791699.159,666144128084.45,659203947476.419,665972922087.782,688132510626.859,723531534879.619,752982982547.299,771944977216.919,788763304366.049,815874035642.389,850252079213.816,904613494976.732,941889898969.575,1004850153092.74,1065236363481.14,1129676696845.22,1199247321252.23,1261598072360.48,1301307485720.69,1380052085614.4,1441486888704.25,1489570034685.01,1565862847744.17,1639917247897.28,1688024093175.49,1708920026611.31,1751705380186.83,1800683055755.89,1847508952625.6,1787715645906.05,1853015617869.29,1928274134270.74,1980645836013.89,2051896267179.91,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Sub-Saharan Africa (excluding high income),SSA,258528695447.989,261318278127.164,277211745032.561,294619356590.121,309300971577.448,323714796144.296,329901080050.569,327015308630.88,337164186033.109,368113949842.427,397196118413.271,427902465135.114,440410911671.038,459245127651.708,494251188712.768,492960362107.242,518925061537.254,533309303085.477,532000595785.996,553414372733.511,573746020583.869,568553436263.696,561489708560.05,546056464009.976,558953533472.26,571631454403.678,581537267074.452,597381325679.505,624593910256.619,639228409565.73,653591568014.661,657084377255.755,654781393769.526,646347371941.842,652741390592.921,674122614221.894,707776796819.93,736665766002.464,756158687292.413,772182173575.486,798293869507.806,831300350971.552,885395265724.079,923146894162.549,983683116714.308,1041567271940.92,1103434947962.96,1170000577159.47,1229320612772.68,1266311152498.09,1340748623301.35,1397808412486.19,1442181353557.42,1513575803729.66,1582345142003.34,1624488271641.54,1639352118025.57,1675525781277.53,1719343177649.43,1759417104925.64,1694624371348.57,1754757999424,1824662768283.72,1870284551652.42,1933214104917.37,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Sub-Saharan Africa (IDA & IBRD countries),TSS,263666150217.37,266502186605.196,282615497400.364,300265024549.369,315174824276.845,329923200431.461,336609758362.864,334024993516.738,344477585548.634,375474813099.057,404793146312.29,436008180050.449,448874810689.837,468159267290.719,503415270001.957,502258032123.505,528243411860.47,542847749120.394,541893752135.917,563221826569.992,584153873559.935,579400159510.896,572430923704.395,557890489302.19,570466773968.4,581918812633.31,592797402825.492,610189075320.783,637479081340.123,652115134604.991,666858386178.426,669442791699.159,666144128084.45,659203947476.42,665972922087.782,688132510626.859,723531534879.618,752982982547.299,771944977216.919,788763304366.049,815874035642.389,850252079213.816,904613494976.733,941889898969.575,1004850153092.74,1065236363481.14,1129676696845.22,1199247321252.23,1261598072360.48,1301307485720.69,1380052085614.4,1441486888704.25,1489570034685.01,1565862847744.17,1639917247897.28,1688024093175.49,1708920026611.31,1751705380186.83,1800683055755.89,1847508952625.6,1787715645906.05,1853015617869.29,1928274134270.74,1980645836013.89,2051896267179.91,..
