Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6461.53898673099,6309.72287354571,6459.15146530137,6396.37700879669,6376.21789520586,6424.18240152771,6654.7778945048,6725.71270614041,6940.19317083215,7072.10613469789,7321.33920430307,7371.20338714936,7458.14500325603,7487.94059550361,7878.43652061041,8072.53976089447,8330.06335305419,8635.00034712355,8759.22767643736,8835.79578956671,9055.96117517288,8989.2035290479,8986.48158861617,8909.01723360065,8995.01437462643,9042.19421356406,9416.20056639579,9563.29227886463,9616.69771490976,9629.48608824149,9317.39918230766,9525.12514890875,9800.72244713619,9915.1352502569,10005.7742574058,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4636.8778018825,4638.66053060891,4713.16548346677,4810.46014929843,4913.28821079504,5037.84611712168,5247.94896126895,5428.17485468213,5495.92396527605,5616.29770391168,5832.65010726491,5958.77829929485,6149.95076260906,6418.30293939766,6814.61890823763,7196.01062713529,7660.03313502154,8192.68646199635,8529.93088668596,8729.20567260891,9292.00637276254,9733.00899592607,10120.5725253147,10537.1162027731,10930.862711205,11304.3987479773,11717.3629616092,12191.1259244473,12652.622763287,13026.1921227651,12674.2010645982,13466.4888753658,13929.3023033056,14521.6809816517,15048.5526322651,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43996.1702778667,43289.6345077585,44104.3657635902,44730.6155696295,45989.2673962244,46672.279918969,47793.4147870381,49324.9458989698,50930.8571263208,52792.7989394401,54395.9872764444,54414.2316054862,54880.9996452037,55882.5388021726,57460.6504868586,58901.3751316749,59950.8137947404,60574.8958787286,60110.4620870865,58016.8608848414,59082.0189334998,59602.1365034568,60435.0747551988,61242.5035646543,62295.5003482894,63496.1568234086,64079.9609801917,65200.6650984045,66672.0445786912,67938.3944189517,65982.8101708618,69833.4948761015,71184.9572983365,72394.1241275026,73462.0394138947,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33043.7623125884,33121.7208624292,33501.6285243951,33675.1426668963,34468.6524585014,35125.0844779883,35956.7339918775,36997.4895944521,37811.653302447,38768.1259454055,40100.0736635285,40359.7742955811,40691.7246907504,41219.2890851894,42284.8711664127,43196.3601762154,44265.6201666808,45160.7672425497,45022.4637924216,43146.9846734134,44163.5000019848,44837.8963217335,45146.1602478402,45604.6500774203,46327.0750560206,47222.4264143199,47815.3606829439,48824.2005087167,49687.0078076748,50306.6814679338,48089.3143059651,50955.6018382245,52344.6903615246,52929.4284227082,53534.1656216465,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Other small states,OSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14407.0704232495,14076.228316401,13505.9836557324,13483.805370705,13714.794716047,14215.750491219,14502.1646953872,15239.4093922069,15421.5736882684,15698.0012021483,16795.95587387,17023.5058206732,17347.1436296221,17881.8029685139,18422.1844604367,19007.4954733196,19953.3154365197,20703.8867531427,20620.442206477,19473.3520068419,19848.3886436507,20380.3634956804,20463.8716583833,20434.0465415066,20650.2474077089,21060.1163265695,21602.2090125289,22368.3596347617,22985.9819466315,23747.6947327908,22167.0818544728,23596.4033747237,24125.978168384,24570.763349387,25078.0428566251,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5435.53184302754,5293.20281010757,5483.02010196233,5511.93157318265,5695.92154568622,5844.43135130163,5969.97226186683,5793.00270584546,5784.60795923229,6009.18052303907,5838.45255572265,5836.2597902551,5902.78478891851,5929.14454892221,6110.77688226056,6160.09276971647,6224.22941257368,6146.06973733894,6189.67466848363,6079.22065891627,6218.24218010191,6353.38836493369,6337.90322264197,6481.80346858781,6658.2674056849,6844.56953866979,6990.1887390315,7194.50395381984,7314.62180323215,7288.31019104527,6347.24222055557,6080.31594064428,6653.2312628164,7078.57376542142,7228.16086485168,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Post-demographic dividend,PST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36375.7271673778,36411.6822814656,36715.8493564066,36742.9266476775,37503.1286942702,38263.3365440271,39094.7895584644,40170.2917579393,41038.1405844399,42246.3328919222,43762.1566063893,44277.9971470933,44757.5270716117,45453.9427796931,46711.8088902163,47766.888180537,48968.1059610766,50004.5938639974,49922.1584385831,47865.9128065078,49038.843112135,49736.6833384161,50035.000326229,50535.5008140651,51236.9421219202,52055.5180828139,52761.7427484299,53887.9630625978,54895.8897182902,55715.5565264182,53247.1258755563,56311.677590959,57682.9366418842,58518.6227353904,59187.8705268741,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3604.0012200427,3246.30034933887,3231.03822609274,3108.25214086957,3005.27221852335,3000.32858476478,3083.59422489559,3186.48381663137,3306.55960127258,3343.68720004559,3429.70317873384,3478.54310668082,3594.43630988008,3485.95546224373,3782.99047596997,3895.30309478367,4021.52472717459,4153.51406143983,4293.71626997956,4378.09919247674,4539.58255211005,4606.71107326448,4704.96477071245,4833.19169685647,4940.701417994,4951.55666271614,4929.40810283355,4874.71149447624,4868.45975712931,4888.59916995327,4558.12052329208,4535.27416519741,4624.99225982559,4619.11355930906,4656.63637010841,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Small states,SST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12967.345601154,12767.2103079705,12543.2679132641,12506.744834051,12764.0914714284,13158.8984081886,13499.5833079018,14082.1541466986,14347.650816605,14703.0835032342,15508.8076319873,15722.9340317643,16089.5481683915,16720.040671397,17301.7681992296,17919.1029342471,18926.1374267865,19583.3245339467,19626.8024785101,18687.1342887514,19028.3801181314,19400.0930871394,19654.5527955594,19723.9123640346,19990.188818425,20210.1952363993,20317.3656305928,20726.6600236013,21153.1071455937,21651.5595573883,20089.2426291376,21232.112433676,22449.9535899521,23360.6426585898,24699.249237061,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,South Asia,SAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2221.10401117058,2207.15229366238,2278.29562275307,2338.6490943805,2437.52726368427,2561.1387186881,2688.7488495003,2747.18449308729,2855.99974039973,3032.53867444598,3097.80657068159,3182.31651811181,3244.37301172362,3427.9769384358,3626.65995288754,3844.00632749848,4085.07331187293,4330.30260571846,4419.83211246422,4683.42320559577,4997.84158209382,5199.39828023848,5421.16973991693,5690.32664871744,6029.54889102679,6420.39753408396,6853.83622045557,7237.9013460911,7622.25084211992,7857.61469233314,7399.2146905549,8015.35674462811,8522.02555266368,9169.17425959869,9654.1661001538,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2221.10401117058,2207.15229366238,2278.29562275307,2338.6490943805,2437.52726368427,2561.1387186881,2688.7488495003,2747.18449308729,2855.99974039973,3032.53867444598,3097.80657068159,3182.31651811181,3244.37301172362,3427.9769384358,3626.65995288754,3844.00632749848,4085.07331187293,4330.30260571846,4419.83211246422,4683.42320559577,4997.84158209382,5199.39828023848,5421.16973991693,5690.32664871744,6029.54889102679,6420.39753408396,6853.83622045557,7237.9013460911,7622.25084211992,7857.61469233314,7399.2146905549,8015.35674462811,8522.02555266368,9169.17425959869,9654.1661001538,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3775.44715824752,3692.96647842761,3585.8898110554,3446.39871711459,3382.89870693516,3400.79211336698,3482.83538248151,3531.2526143186,3529.4672266836,3509.31810136229,3534.51732241584,3592.16950119331,3732.08528410955,3787.21190581541,3938.52474735639,4064.79469856722,4196.01742141953,4334.88334721941,4442.56054105323,4476.26595816638,4629.34154572117,4716.82196328525,4779.45095832875,4893.03086171617,4999.52219488023,5016.22753000527,4948.61002148455,4944.82716564733,4954.56228767375,4956.28204569314,4674.72999524284,4720.35761389047,4796.06641542138,4810.21576811861,4872.63561420471,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4065.82027451127,3990.11100791024,3886.87024084937,3728.49905322175,3661.2275291231,3681.37708502147,3766.8248891649,3822.20514514171,3827.62590417184,3805.1625385305,3831.94227075511,3892.72693602378,4050.88159908508,4118.27025866785,4278.51331355353,4411.23940636792,4549.64962010862,4695.18096839035,4806.08016860663,4836.23831598363,4993.41645515479,5078.36737266493,5138.78939655495,5251.51344059004,5355.7342357734,5358.65561857327,5268.83150135542,5249.09498328977,5249.943568027,5237.57859289934,4915.93079254536,4958.95615019986,5035.76910820244,5040.15417908639,5094.61312493951,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3775.44715824753,3692.96647842761,3585.8898110554,3446.39871711459,3382.89870693516,3400.79211336698,3482.83538248151,3531.2526143186,3529.46722668361,3509.31810136229,3534.51732241584,3592.16950119331,3732.08528410956,3787.21190581541,3938.52474735639,4064.79469856722,4196.01742141953,4334.88334721941,4442.56054105323,4476.26595816638,4629.34154572117,4716.82196328525,4779.45095832874,4893.03086171617,4999.52219488023,5016.22753000526,4948.61002148455,4944.82716564733,4954.56228767375,4956.28204569314,4674.72999524284,4720.35761389047,4796.06641542137,4810.21576811861,4872.63561420471,..
