ISO,year,pop,importpcGDP,AVservicepcGDP,GDP2015,GDPgrowth,GDPpc2015,GDPpc2015ppp,urbpop,GDPpc2015_trend,GDPpc2015_cycle,govteffectiveness,regquality,ruleoflaw,annual_HDD,annual_CDD,tempvariation
PER,2012,29550366,25.170280892132098,49.129259974298,169620385179.42297,6.139724705604351,5740.04346272472,13395.399380589099,23241010,5714.804521261025,25.238941463694573,49.204691,58.85379399999999,48.566659900000005,785.6178471560933,600.4673021180552,-0.05685714285714383
PER,2013,29817919,24.9788430262935,50.5158622110693,179547449111.361,5.852518210849278,6021.461427652321,14052.1376191683,23648756,5936.920951998861,84.54047565345991,49.295811500000006,58.5461772,47.411926699999995,780.589505841809,501.34141553406755,-0.4068571428571417
PER,2014,30115826,24.2461507154749,52.3928980547013,183824551906.256,2.3821573718054103,6103.91864749969,14244.566021294799,24091018,6117.181272349522,-13.26262484983181,47.4749568,58.96936230000001,47.4351095,739.8457458552367,583.7370713073004,-0.016857142857141127
PER,2015,30457600,23.875443403219,54.04257994493861,189802976285.61902,3.2522447721845102,6231.71150338894,14542.793091131303,24578759,6258.605011750931,-26.893508361990826,46.5035997,59.871851799999995,49.1850818,715.6801870146056,710.7432020164815,0.5131428571428565
PER,2016,30866494,22.788527455424695,54.306373018274805,197306492869.139,3.9533187152076703,6392.25474941014,14917.448947358802,25131264,6362.089679665036,30.16506974510412,48.0215612,59.9439998,51.12611350000001,693.319888058168,692.5636203578173,0.4231428571428566
PER,2017,31324637,22.7936783872998,53.92833315648941,202276318741.548,2.5188354423313504,6457.41940254721,15069.5221084659,25746711,6424.2298242158695,33.18957833134027,49.9120761,59.1346609,50.51749139999999,736.1488116728626,628.9998830519968,0.19314285714285617
PER,2018,31897584,23.439285499488804,53.53819362810761,210305376512.78,3.9693513413650003,6593.144374595261,15386.2601642505,26374675,6446.446404686687,146.69796990857412,48.2135515,59.559748,49.031928900000004,775.236322743138,517.1710676375264,-0.11685714285714255
PER,2019,32449303,22.904417940534195,54.3915620275491,215017545590.315,2.2406317687504913,6626.26083494969,15463.5432397882,26966442,6435.470712893758,190.79012205593244,52.26647080000001,60.30362449999999,49.109084499999994,720.9499172115479,604.3275701749683,-0.08685714285714141
PER,2020,32838579,21.2345240547509,54.191060000142095,191509018299.917,-10.933306501038201,5831.830247585211,13609.5999609595,27428996,6421.505715838727,-589.6754682535166,49.27358890000001,58.4128361,49.528158200000014,685.0103390210978,609.8655970472283,0.12314285714285589
PER,2021,33155882,26.1913897716107,48.7058242179895,217099648514.382,13.3626240903125,6547.84718181776,15280.551210648598,27833704,6465.280800052184,82.566381765576807,50.24489739999999,56.20072090000001,48.001037,728.9949551637751,514.3725885594938,-0.036857142857144254
PER,2022,33475438,28.465115194774597,49.699588643073206,223198050485.251,2.8090335533015,6667.51695632036,15559.821643643998,28242007,6533.177277144149,134.33967917621067,49.618951700000004,55.992677,48.57876590000001,745.1905893067333,470.896626133425,-0.1568571428571417
POL,1996,38624370,23.392639678204993,50.2926876522253,232246717071.23,6.0938774738562795,6012.95806433166,15083.098121619998,23807938,6020.626389029885,-7.668324698224751,64.8619823,59.79504500000001,68.2744091,3556.4720578025417,80.62050032224235,-2.308285714285714
POL,1997,38649660,27.121194494401504,51.94959749322479,247015068311.447,6.358906350305088,6391.13172823376,16031.721148526503,23837517,6359.915370448371,31.216357785389846,61.92883045,61.72978355000001,68.4529495,3145.226372892737,91.75415771246803,-1.0682857142857136
POL,1998,38663481,30.685713160071998,53.29838995626881,258431144714.15298,4.621611337617689,6684.114777822339,16766.649288326695,23857602,6677.722119880616,6.392657941722973,58.995678600000005,63.664522100000006,68.6314899,2974.050864957352,108.39479693956373,-0.6582857142857144
POL,1999,38660271,29.901226072536595,54.1654422676804,270575301764.16,4.699184791925569,6998.79475144289,17556.002692798702,23864671,6971.29139326594,27.503358176949405,59.08192940000001,63.788379000000006,68.3958246,2785.096537672883,127.7965095512379,0.011714285714287342
POL,2000,38258629,33.5375012139652,56.8411095841388,283174187558.03204,4.65633252988236,7401.576976478481,18566.354628877194,23623141,7238.890771814332,162.68620466414905,59.16818020000001,63.912235900000006,68.1601593,2538.1323328320914,108.87472448918874,0.5517142857142865
POL,2001,38248076,30.821273263254405,58.28054068164599,286667833930.23004,1.2337446440035598,7494.960895032459,18800.6018648402,23620394,7483.1883740441,11.772520988359247,58.109707050000004,64.40674485000001,67.26911899999999,3025.617121324667,125.07943673446808,-0.5882857142857141
POL,2002,38230364,32.1734007560509,58.79645539790861,292117946677.278,1.9011943796858597,7640.99307757777,19166.913705814302,23610367,7732.88211121982,-91.88903364204998,57.0512339,64.90125380000002,66.37807869999997,2821.480719607486,196.06986311644798,0.14171428571428635
POL,2003,38204570,35.9747812061398,57.948284766723795,302410346199.761,3.5233711723483307,7915.554243897041,19855.631798918097,23582969,8018.553497964205,-102.99925406716466,60.3584342,66.1269597,64.26469900000002,3062.1848466737183,165.22356190116773,-0.508285714285714
POL,2004,38182222,36.91940695948849,55.98337421146459,317805438387.054,5.090795464095439,8323.387737545869,20878.6545002534,23541446,8356.081803517243,-32.694065971374584,56.883280299999996,64.9893419,61.5591455,2940.4895084220498,83.20246100932442,-0.6082857142857137
POL,2005,38165445,35.78601681477671,55.885725561339896,328168510412.52203,3.2608227467921607,8598.57681241557,21568.9476594356,23490717,8744.866416468183,-146.28960405261387,60.3110102,67.16485960000001,66.7697341,3015.8621351109437,131.2953449627923,-0.6682857142857141
POL,2006,38141267,40.042762315127504,55.740072202166104,348521872927.44403,6.20210710934373,9137.658508498009,22921.197588769603,23426354,9179.075674850847,-41.41716635283774,57.31476449999999,65.7547337,62.973614,2959.7168255705014,204.47683652496067,-0.29828571428571315
POL,2007,38120560,42.2742826395837,54.9294199742734,372083512402.17596,6.7604478527626,9760.704260435203,24484.065666375594,23358602,9629.471580050638,131.23268038456445,55.7849285,67.0609085,65.1095157,2687.9834466756183,177.75190862006727,0.4217142857142857
