"","Name","Module","year","Emissions_co2","Emissions_co2e","nonco2","ISO","Classification","lnEmissions_co2","lnEmissions_co2e","lnEmissions_nonco2"
"995","Brazil","Industry","1974",52712.7244505067,61578.7079810897,58.7439510305519,"BRA","UMICs",10.8726121560587,11.0280714401134,4.07318818654131
"996","Brazil","Industry","1975",57056.9702895009,67381.3502673961,72.1301676226062,"BRA","UMICs",10.9518055264335,11.1181235563471,4.27847237040871
"997","Brazil","Industry","1976",64403.642237194,74564.0242572801,63.2715709118153,"BRA","UMICs",11.0729254669714,11.2194134213107,4.14743611155003
"998","Brazil","Industry","1977",69803.805877602,79373.0020767121,60.8496357398904,"BRA","UMICs",11.1534438127311,11.2819135651911,4.10840583321825
"999","Brazil","Industry","1978",74953.0295242086,85344.8911874017,63.0577432796032,"BRA","UMICs",11.224616923317,11.3544558692243,4.14405086660061
"1000","Brazil","Industry","1979",81100.2238718123,91773.2860732592,66.5330301476533,"BRA","UMICs",11.3034410005413,11.4270765328788,4.19769851829987
"1001","Brazil","Industry","1980",83257.831732469,94655.2477368845,72.1924338355698,"BRA","UMICs",11.3296974782824,11.4579965987021,4.27933524588626
"1002","Brazil","Industry","1981",69540.036510537,80110.7318182904,68.5015377558791,"BRA","UMICs",11.149657930591,11.2911651043352,4.22685619400714
"1003","Brazil","Industry","1982",67357.1056766565,77893.2353085861,68.9032590921026,"BRA","UMICs",11.1177636800099,11.2630943899442,4.23270347867309
"1004","Brazil","Industry","1983",61699.8877198377,73143.3389088373,73.8653388017698,"BRA","UMICs",11.0300373901161,11.2001763415889,4.3022436895331
"1005","Brazil","Industry","1984",60933.6450440365,71464.4068120142,80.7091242349442,"BRA","UMICs",11.0175407649233,11.1769547979102,4.39085163251473
"1006","Brazil","Industry","1985",64288.1890004609,76643.9412142434,85.6758473055794,"BRA","UMICs",11.071131207513,11.2469258363518,4.45057095747634
"1007","Brazil","Industry","1986",69739.5822998877,83686.4219608567,93.1439231650043,"BRA","UMICs",11.1525233308209,11.3348320206282,4.5341458578289
"1008","Brazil","Industry","1987",75423.0195525914,88471.3721861596,89.5732004312348,"BRA","UMICs",11.2308678065077,11.3904343005432,4.49505617291089
"1009","Brazil","Industry","1988",78180.6716673074,91471.4154849936,92.7684349990504,"BRA","UMICs",11.2667777306033,11.4237818033857,4.53010644183495
"1010","Brazil","Industry","1989",78551.0822883117,88552.4071099836,85.9479565720553,"BRA","UMICs",11.2715044219251,11.3913498264664,4.45374195693373
"1011","Brazil","Industry","1990",74607.0961378877,83406.4290542294,5085.2654594214,"BRA","UMICs",11.2199909041598,11.331480672357,8.53410251152938
"1012","Brazil","Industry","1991",78337.3123036563,87061.9280854312,5093.85631316318,"BRA","UMICs",11.268779298534,11.374374961489,8.53579044806721
"1013","Brazil","Industry","1992",78146.7331967463,87375.7255415074,5593.98354451001,"BRA","UMICs",11.2663435332708,11.3779727832671,8.62944693212547
"1014","Brazil","Industry","1993",82871.2366648052,92371.6857655446,5720.1799118585,"BRA","UMICs",11.325043316681,11.4335757795613,8.65175553700132
"1015","Brazil","Industry","1994",84247.2967627725,94102.6987608205,5560.64594713226,"BRA","UMICs",11.341511761798,11.4521420048734,8.62346955803831
"1016","Brazil","Industry","1995",91673.5723869826,100528.621416773,4597.20908796727,"BRA","UMICs",11.4259894202738,11.5181977561529,8.43320467834101
"1017","Brazil","Industry","1996",98991.4925154725,106908.056776121,3601.66285921402,"BRA","UMICs",11.502789191237,11.5797244615831,8.189150923136
"1018","Brazil","Industry","1997",105048.41967054,113153.814478813,3735.4023871037,"BRA","UMICs",11.5621766625668,11.6365033621931,8.22561082592832
"1019","Brazil","Industry","1998",108512.090684531,120274.872698422,2404.93468501457,"BRA","UMICs",11.5946168806347,11.6975350081462,7.78527802417297
"1020","Brazil","Industry","1999",112277.200572768,125106.786490098,3251.77113196972,"BRA","UMICs",11.6287260976104,11.7369229435056,8.08695509056799
"1021","Brazil","Industry","2000",122419.194668548,133975.633409156,2000.10358817394,"BRA","UMICs",11.715206455953,11.8054132221679,7.60095425228779
"1022","Brazil","Industry","2001",118176.735334654,128480.503501294,1560.3433659872,"BRA","UMICs",11.6799365400017,11.7635324480809,7.35266118242577
"1023","Brazil","Industry","2002",122184.622030743,129381.489852041,1762.44036800108,"BRA","UMICs",11.7132884751718,11.7705206048512,7.4744547003558
"1024","Brazil","Industry","2003",120550.028325474,127939.803551046,1893.42883841668,"BRA","UMICs",11.699820118578,11.7593151475257,7.5461446646006
"1025","Brazil","Industry","2004",125123.042998571,133271.323022994,2020.61050961147,"BRA","UMICs",11.7370528761242,11.8001423519125,7.61115497721314
"1026","Brazil","Industry","2005",125118.807119456,132955.00949783,1795.27279934018,"BRA","UMICs",11.7370190218419,11.7977660755238,7.49291226672328
"1027","Brazil","Industry","2006",127117.693166695,135354.123141488,1833.02890915565,"BRA","UMICs",11.7528686541508,11.8156497573896,7.51372501921324
"1028","Brazil","Industry","2007",138225.830096302,146520.446372962,1712.7384710806,"BRA","UMICs",11.8366440765873,11.8949202633866,7.4458488136273
"1029","Brazil","Industry","2008",139943.480610388,148134.132314439,1823.84779244836,"BRA","UMICs",11.8489939101528,11.9058734417268,7.50870372002977
"1030","Brazil","Industry","2009",127965.770859397,134644.219920884,1149.77391608988,"BRA","UMICs",11.759518091979,11.8103911706261,7.04732060732557
"1031","Brazil","Industry","2010",148617.58701643,155319.950012214,891.210033005385,"BRA","UMICs",11.909131755652,11.9532424620081,6.79258012697027
"1032","Brazil","Industry","2011",158960.461204522,165645.930281659,807.506545780763,"BRA","UMICs",11.9764107786088,12.0176078392503,6.693951161294
"1033","Brazil","Industry","2012",159209.753779883,165649.537683575,769.200592261611,"BRA","UMICs",11.9779778179772,12.017629616801,6.64535178368522
"1034","Brazil","Industry","2013",151706.562535001,158076.007587452,792.468299461092,"BRA","UMICs",11.9297034243548,11.9708312570166,6.67515250427138
"1035","Brazil","Industry","2014",148138.093369062,154146.517559019,548.794197263067,"BRA","UMICs",11.9059001810177,11.9456588418105,6.30772350285553
"1036","Brazil","Industry","2015",139971.241164774,145848.394335044,480.078435325519,"BRA","UMICs",11.8491922602382,11.8903229662195,6.17394949748064
"1037","Brazil","Industry","2016",130885.938803735,136895.359555204,499.870627704402,"BRA","UMICs",11.7820815267525,11.8269721141002,6.21434932035084
"1038","Brazil","Industry","2017",136863.644990934,143037.836556407,506.51380112023,"BRA","UMICs",11.8267404171413,11.8708644655475,6.22755157133377
"1039","Brazil","Industry","2018",132878.875726417,138693.25540024,429.939298120088,"BRA","UMICs",11.7971932834327,11.8400199778692,6.06364403156
"1040","Brazil","Industry","2019",128593.162745004,134401.290881444,402.843931144351,"BRA","UMICs",11.7644089225371,11.8085853117977,5.99854921930732
"1041","Brazil","Industry","2020",122864.048485739,128942.7821744,395.113722805989,"BRA","UMICs",11.7188337261996,11.7671240359112,5.97917362930214
"1042","Brazil","Industry","2021",137008.895507509,142887.411978765,358.668140871367,"BRA","UMICs",11.8278011334141,11.8698122703161,5.88239756228133
"1043","Brazil","Industry","2022",136279.094850857,142326.964784688,338.015180318057,"BRA","UMICs",11.8224602299188,11.8658822586401,5.8230908066581
